Dispatched,Description,Address,Grid,Report
1/17/2023 13:21,BURG OF A STRUCTURE,1500 BLOCK E GENESEE ST,84,24408
1/17/2023 13:11,INFORMATION,4800 BLOCK N 17TH ST,72,24402
1/17/2023 12:21,INFORMATION,6900 BLOCK N PACKWOOD AVE,41,24405
1/17/2023 12:04,TRAFFIC CRASH,1600 BLOCK W KENNEDY BLVD,155,24401
1/17/2023 11:57,LOST/FOUND PROPERTY,N 22ND ST / E HILLSBOROUGH AVE,72,24397
1/17/2023 12:30,FOLLOW UP INVESTIGATION,2900 BLOCK E HILLSBOROUGH AVE,61,24400
1/17/2023 12:05,MISDEMEANOR,2400 BLOCK W CYPRESS ST,137,24398
1/17/2023 11:54,MISDEMEANOR,200 BLOCK S WEST SHORE BLVD,156,24396
1/17/2023 11:53,LOST/FOUND PROPERTY,1200 BLOCK N MARION ST,140,24395
1/17/2023 11:55,MISDEMEANOR,2500 BLOCK N 50TH ST,131,24393
1/17/2023 11:51,SUSPICIOUS PERSON,1500 BLOCK N DALE MABRY HWY,120,24391
1/17/2023 11:56,MISDEMEANOR,18100 BLOCK SANDY POINTE DR,260,24394
1/17/2023 11:52,DISTURBANCE,8500 BLOCK N ARMENIA AVE,25,24392
1/17/2023 11:47,DISTURBANCE,1700 BLOCK N FRANKLIN ST,115,24386
1/17/2023 12:14,DOMESTIC DISPUTE,4000 BLOCK S WEST SHORE BLVD,180,24390
1/17/2023 11:42,LOST/FOUND PROPERTY,3800 BLOCK N 22ND ST,97,24384
1/17/2023 11:49,DISTURBANCE,8400 BLOCK N 10TH ST,29,24383
1/17/2023 11:36,MISDEMEANOR,900 BLOCK N ASHLEY DR,140,24382
1/17/2023 11:37,INFORMATION,E KENNEDY BLVD / N ASHLEY DR,144,24380
1/17/2023 11:30,INFORMATION,1500 BLOCK N PIERCE ST,125,24377
1/17/2023 13:37,BURG OF A STRUCTURE,2200 BLOCK E 27TH AVE,98,24379
1/17/2023 12:26,TRAFFIC CRASH,6000 BLOCK S DALE MABRY HWY,192,24378
1/17/2023 11:31,INFORMATION,2700 BLOCK N ARMENIA AVE,114,24375
1/17/2023 12:52,AUTO BURGLARY,700 BLOCK GENEVA PL,133,24373
1/17/2023 11:24,DISTURBANCE,2000 BLOCK E 26TH AVE,97,24370
